Total Debt Balance by Age,,,,,,,Return to Table of Contents,,,,,,,
Trillions of Dollars,,,,,,,Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,
,,,,,,,Note: Balances may not add up to totals due to a small number of individuals with unknown birthyears.,,,,,,,
quarter,18-29,30-39,40-49,50-59,60-69,70+,,,,,,,,
18:Q4,1.01,2.86,3.43,3.16,2.05,1.04,,,,,,,,
19:Q1,0.86,2.80,3.43,3.23,2.17,1.17,,,,,,,,
19:Q2,0.92,2.88,3.49,3.25,2.16,1.16,,,,,,,,
19:Q3,0.97,2.93,3.51,3.26,2.14,1.15,,,,,,,,
19:Q4,1.04,3.00,3.56,3.26,2.14,1.13,,,,,,,,
20:Q1,0.90,2.93,3.58,3.37,2.24,1.27,,,,,,,,
20:Q2,0.93,2.96,3.57,3.33,2.20,1.23,,,,,,,,
20:Q3,1.02,3.04,3.59,3.32,2.16,1.21,,,,,,,,
20:Q4,1.08,3.15,3.63,3.34,2.15,1.18,,,,,,,,
21:Q1,0.95,3.05,3.65,3.39,2.28,1.30,,,,,,,,
21:Q2,1.03,3.18,3.74,3.42,2.29,1.29,,,,,,,,
21:Q3,1.11,3.31,3.82,3.45,2.27,1.27,,,,,,,,
21:Q4,1.19,3.46,3.90,3.47,2.28,1.27,,,,,,,,
22:Q1,1.02,3.42,4.00,3.57,2.40,1.42,,,,,,,,
22:Q2,1.09,3.55,4.11,3.61,2.38,1.40,,,,,,,,
22:Q3,1.18,3.69,4.21,3.62,2.38,1.39,,,,,,,,
