DATE,HDTGPDUSQ163N
2005-01-01,87.1573179336156
2005-04-01,89.7079191974968
2005-07-01,92.393444383091
2005-10-01,94.6479155162893
2006-01-01,91.9518660065433
2006-04-01,94.4723500969918
2006-07-01,96.9010973102869
2006-10-01,98.8999030081936
2007-01-01,95.6175829490302
2007-04-01,97.724870027808
2007-07-01,99.4623624712852
2007-10-01,100.953735081265
2008-01-01,99.7641885327204
2008-04-01,99.3126267362228
2008-07-01,100.288053026943
2008-10-01,98.225032752533
2009-01-01,99.4954914508515
2009-04-01,99.3456508300496
2009-07-01,99.3732236040074
2009-10-01,99.3406018075639
2010-01-01,94.8558888562178
2010-04-01,94.4415483446547
2010-07-01,94.0286630817049
2010-10-01,94.1225565196301
2011-01-01,90.6631366899096
2011-04-01,90.3811958223622
2011-07-01,90.0754660739212
2011-10-01,90.0880047564941
2012-01-01,86.1830016703632
2012-04-01,85.9043124901947
2012-07-01,86.1094503182303
2012-10-01,86.0933373118534
2013-01-01,82.8358702089416
2013-04-01,82.9010418135482
2013-07-01,83.3538113989453
2013-10-01,84.4447544932755
2014-01-01,80.9318388039206
2014-04-01,81.4899483922983
2014-07-01,81.4952131470727
2014-10-01,81.8746971270336
2015-01-01,78.7343914995173
2015-04-01,79.4749760038229
2015-07-01,79.8353347312222
2015-10-01,79.9900088020312
2016-01-01,77.8638145824307
2016-04-01,78.5866563965959
2016-07-01,79.5750597750213
2016-10-01,80.1340137255217
2017-01-01,77.1436000436353
2017-04-01,77.9434973722543
2017-07-01,78.6693532344694
2017-10-01,79.7461296097846
2018-01-01,75.8730218271898
2018-04-01,76.511756381183
2018-07-01,77.3392360848924
2018-10-01,77.9364841198121
2019-01-01,74.8158108980657
2019-04-01,75.6441518579864
2019-07-01,76.4001104217549
2019-10-01,77.1857799238277
2020-01-01,79.2661058929106
2020-04-01,79.3021214478014
2020-07-01,80.5744636553993
2020-10-01,81.9308453484894
2021-01-01,75.3120260740148
2021-04-01,76.8016933324491
2021-07-01,78.1539414878409
2021-10-01,79.8572756437783
2022-01-01,74.1335065094376
2022-04-01,75.5863310193889
